,Element Name,Element Type,Database,PosReg Name,PosReg Type,PosReg ID,,NegReg Name,NegReg Type,NegReg ID,,Connection Type,Negative Reg DB,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
2184,egfr,protein,p00533,pm,simple-chemical,1052, , , , , ,i,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation']","['pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385']","['pm activation of egfr is achieved by activation of endocytosis deficient mutant egfr1010ll/aa stably expressed in cho cells (cho-ll/aa cell).', 'however, some data were only based on the inhibition of egfr endocytosis xref_bibr â€“ xref_bibr, xref_bibr, xref_bibr, and thus the results only reflect the differences between pm egfr signaling and standard egfr signaling (including both pm and en egfr signaling).', 'however, some data were only based on the inhibition of egfr endocytosis xref_bibr â€“ xref_bibr, xref_bibr, xref_bibr, and thus the results only reflect the differences between pm egfr signaling and standard egfr signaling (including both pm and en egfr signaling).', 'sd egfr activation includes both the initial pm activation and the later en activation of egfr (xref_fig).', 'as shown in xref_fig, activated egfr was exclusively localized at the pm fraction, not in endosomes following pm activation of egfr in cho-ll/aa cells; activated egfr was exclusively localized in endosomes, not at the pm fraction following en activation of wild type egfr in cho-egfr cells.', 'for y1086, en activation of egfr induced weak phosphorylation when compared with sd and pm activation of egfr (xref_fig).', 'sd activation of egfr resulted in the transcription of c-fos mrna, but at a much lower level than that following pm activation of egfr.', 'similar to our observation of mrna, the expression of c-fos was stimulated by pm activation of egfr, but not en activation of egfr.', 'interestingly, the basal level of c-fos expression in the absence of egf stimulation is also significantly higher in cho-ll/aa cells than in cho-egfr cells, which suggests that chronic basal egfr activation from pm may enhance c-fos expression in the absence of acute pm activation of egfr.', 'in xref_fig, we showed by immunoblotting that pm activation of egfr resulted in a gradual and lasting build up of perk in nuclear fractions, but en activation of egfr resulted in a quick and transient build-up of perk in nuclear fractions.', 'pm activation of egfr resulted in a slow but steady build-up of perk in the nucleus, however, en activation of egfr caused a quick, but brief nuclear localization of perk.', 'as shown in xref_fig, in cho-ll/aa cells, following pm activation of egfr for 5 min, perk was mostly localized to the peripheral region of the cell.', 'in the control experiments, following sd activation of egfr in cho-egfr cells, the subcellular distribution of perk followed a pattern in between that of pm and en activation of egfr, but the pattern is more similar to en activation of egfr.', 'on the other hand, pm activation of egfr resulted in very weak elk1 activation in the nucleus, and the level of activation slowly increased for a long period of up to 2 hours (xref_fig).', 'as shown in xref_fig, in cho-ll/aa cells following pm activation of egfr, elk1 was weakly phosphorylated in the nucleus.', 'we showed by both methods that sd activation of egfr by egf in cho-egfr cells result in stronger cell proliferation than pm activation of egfr by egf in cho-ll/aa cells and the differences are statistically significant (xref_fig).', 'previously, the efforts to create the specific pm activation of egfr were focused on targeting the endocytic machinery proteins such as dynamin and clathrin, which resulted in the broad inhibition of endocytosis.', 'we do not know why pm activation of egfr results in stronger activation of y1086.', 'by comparing the effects of pm and en activation of egfr, we had some interesting findings.', 'the level and pattern of total phosphorylated erk1/2 are very similar following pm and en activation of egfr (xref_fig).', 'however, the phosphorylation and expression of transcription factors c-jun and c-fos are differentially regulated by pm and en activation of egfr (xref_fig).', 'we showed that pm activation of egfr results in slow and lasting buildup of perk in nucleus, but en activation of egfr results in strong but transient build up of perk in nucleus (xref_fig & xref_fig).', 'on the other hand, pm activation of egfr results in the activation of pmek near the pm where pmek activate erk.', 'we also showed that pm activation of egfr results in stronger rsk phosphorylation in cytoplasm than en activation of egfr (xref_fig).', 'as rsk is an upstream activator of c-fos xref_bibr, it is likely that stronger c-fos activation induced by pm activation of egfr is through the activation of rsk.', 'the stronger rsk phosphorylation could be due to the longer residential time of perk in the cytosol following pm activation of egfr (xref_fig & xref_fig).', 'we showed here that pm activation of egfr is less potent than sd activation of egfr in terms of egf stimulated cell proliferation (xref_fig).', 'interestingly, pm activation of egfr increased cell size (xref_fig).', 'it is also interesting to notice that in general the effects of en signaling of egfr more resembles sd signaling of egfr than pm signaling of egfr.']",29,100,40,1,2940
2188,egfr,protein,p00533,sd,protein,p46060, , , , , ,i,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation', 'activation']","['pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385']","['for y1086, en activation of egfr induced weak phosphorylation when compared with sd and pm activation of egfr (xref_fig).', 'egfr1010ll/aa from cho-ll/aa cells and wild type egfr from cho-egfr cells were iped with an antibody to egfr following pm, en and sd activation of egfr.', 'as a control, sd activation of egfr caused c-fos activation, but much weaker than that following pm activation of egfr (xref_fig).', 'as a control, sd activation of egfr caused c-fos activation, but much weaker than that following pm activation of egfr (xref_fig).', 'sd activation of egfr resulted in the transcription of c-fos mrna, but at a much lower level than that following pm activation of egfr.', 'we only observed very weak increases of c-jun mrna following pm, en and sd activation of egfr (xref_fig).', 'this weak increase of c-jun mrna was very similar following pm, en and sd activation of egfr.', 'on the other hand, c-jun expression levels were not changed in response to pm, en and sd activation of egfr.', 'in the control experiments, following sd activation of egfr in cho-egfr cells, the subcellular distribution of perk followed a pattern in between that of pm and en activation of egfr, but the pattern is more similar to en activation of egfr.', 'in control, following sd activation of egfr we observed initial plasma membrane localization of pmek (5 â€“ 15 min) and later perinuclear and endosomal localization of pmek.', 'on the other hand, in cho-egfr cells, p-elk1 was exclusively localized in the nucleus following sd and en activation of egfr (xref_fig).', 'we showed by both methods that sd activation of egfr by egf in cho-egfr cells result in stronger cell proliferation than pm activation of egfr by egf in cho-ll/aa cells and the differences are statistically significant (xref_fig).', 'we showed here that pm activation of egfr is less potent than sd activation of egfr in terms of egf stimulated cell proliferation (xref_fig).', 'we showed previously that en activation of egfr stimulates cell proliferation to a similar level as sd activation of egfr xref_bibr.', 'it is also interesting to notice that in general the effects of en signaling of egfr more resembles sd signaling of egfr than pm signaling of egfr.']",15,100,40,1,1540
5045,rb, , ,p38,family,p38, , , , , ,i,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'activation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146', 'pmc3012146']","['here, we show that p38 phosphorylates rb by a novel mechanism that is distinct from that of cdks.', 'p38 has been shown to phosphorylate rb in response to stress and death receptor signaling in multiple cell types, such as endothelial cells, cerebellar neurons, jurkat lymphocytic cells, colon cancer cells, and melanoma cells (xref_bibr; xref_bibr; xref_bibr; xref_bibr; xref_bibr; xref_bibr).', 'rather than promoting cell division, phosphorylation of rb by p38 appears to promote apoptosis under physiologic conditions of cellular stress (xref_bibr).', 'in this study, we sought to determine mechanistically how phosphorylation of rb by p38 differs from that of cdks and why this results in such a dramatically different physiologic effect (apoptosis versus cell division, respectively).', 'while p38 has been shown to phosphorylate rb (xref_bibr), it remains unclear whether p38 phosphorylates rb by the same mechanism previously shown for cdks involving a hierarchical series of conformational changes (xref_bibr).', 'while p38 has been shown to phosphorylate rb (xref_bibr), it remains unclear whether p38 phosphorylates rb by the same mechanism previously shown for cdks involving a hierarchical series of conformational changes (xref_bibr).', 'both recombinant p38 Î± and endogenous p38, immunoprecipitated from melanoma cells treated with etoposide, resulted in robust phosphorylation of rb in vitro (xref_fig).', 'we reasoned that stress related phosphorylation of rb is unique in its ability to release e2fs that can then activate apoptotic genes, and that this could account for the apoptosis that occurs when p38 phosphorylates rb.', 'as expected, phosphorylation of rb by p38 disrupted the interaction between rb and e2f1 (xref_fig).', 'recognizing that p53 is activated by etoposide as part of the dna damage response (xref_bibr), we wished to determine whether p53 was required for p38 mediated rb phosphorylation and/or apoptosis.', 'in this study, we provide evidence for a pro apoptotic signaling pathway induced by genotoxic stress, in which p38 phosphorylates rb in a manner that triggers hdm2 mediated rb degradation, and e2f1 dependent cell death (xref_fig).', 'the rb residue ser567 is implicated as a key target of this p38 mediated phosphorylation, providing a molecular explanation for why rb phosphorylation by p38 differs mechanistically and physiologically from that catalyzed by cdks.', 'taken together, these findings suggest that p38 phosphorylates rb in a cell cycle independent manner and that it is the ability of p38 to phosphorylate ser567 efficiently that distinguishes the pro apoptotic effect of p38 phosphorylation from the proliferative effect of cdk phosphorylation.', 'but under these conditions, p38 would not phosphorylate rb, and hdm2 would thus not interact with rb.']",14,100,40,1,1440
4989,ras,family,pf00071, , , , ,grb10,protein,q13322, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition', 'inhibition', 'activation', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition']","['pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450', 'pmc4441450']","['in tumors, grb10 loss independently promotes ras pathway hyperactivation, which promotes hyperproliferation, an early feature of tumor development.', 'conversely, grb10 silencing promotes ras signaling in and hyperproliferation of mefs.', 'restoration of grb10 expression in grb10 null tumor cell lines reduces tumorigenicity in vitro and suppresses ras signaling.', 'as a negative regulator of growth factor signaling, grb10 restoration is predicted to reduce ras signaling through the downstream pi3k and mapk pathways.', 'immunoblotting for total grb10 protein confirmed the silencing achieved with shrna, and interestingly revealed that basal grb10 protein levels increase when nf1 is fully lost (xref_fig), suggesting that grb10 can be dynamically modulated to negatively regulate ras signaling.', 'ras signaling hyperactivation mediated by grb10 loss was independent of trp53 silencing, as mefs expressing shrna against grb10 only demonstrated increased akt and erk phosphorylation after insulin (xref_fig) and egf (xref_fig) stimulation.', 'despite this, grb10 loss, in an nf1 independent manner, renders cells resistant to downregulation of ras signaling by serum starvation, and increases activation of ras signaling in response to insulin and egf.', 'together, these data indicate that grb10 modulates ras signaling in untransformed cells as well as tumor cells, and that loss of grb10 in untransformed cells increases the magnitude and duration of ras effector activation despite reduced insulin receptor levels.', 'our data are consistent with grb10 functioning to negatively regulate ras activation, with grb10 loss resulting in downstream activation of pi3k and mapk pathways paralleling ras-gtp levels.', 'we then tested whether grb10 over-expression suppresses ras signaling in cells transformed by oncogenically mutated ras, a common mechanism for ras pathway hyperactivation in tumors.', 'we assessed cell proliferation to determine whether similar to the mefs and nf1 mutant tumor cell lines grb10 expression suppressed cell proliferation of ras transformed cells.', 'our experiments employing shrna in mefs show that silencing grb10 increases ras signaling in an nf1 independent manner, and in an nf1 null context ras activation can be increased further by grb10 silencing, and this is associated with a proliferative advantage exceeding that conferred by nf1 loss alone (xref_fig).', 'our experiments employing shrna in mefs show that silencing grb10 increases ras signaling in an nf1 independent manner, and in an nf1 null context ras activation can be increased further by grb10 silencing, and this is associated with a proliferative advantage exceeding that conferred by nf1 loss alone (xref_fig).']",13,100,40,1,1340
4994,ras,family,pf00071, , , , ,nf1,protein,p21359, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition']","['pmc4402595', 'pmc3474823', 'pmc3492274', 'pmc3492274', 'pmc3492274', 'pmc3492274', 'pmc3492274', 'pmc4441450', 'pmc2195790']","['egfr inactivates ras, and nf1 inhibits ras in the mapk signaling pathway.', 'loss or mutations of nf1 in a wide variety of both human tumors and nf1 deficient mice result in increased levels of active ras-gtp and consequently activate various ras effectors thereby promoting cell proliferation and differentiation xref_bibr, xref_bibr.', 'it is unclear if loss of nf1 is sufficient to enhance basal activation of ras and initiate cellular responses in the absence of additional growth factor signaling.', 'knockdown of nf1 in primary endothelial cells activates ras and downstream signaling.', 'the loss of nf1 is sufficient to activate cellular ras.', 'notably, our data demonstrate that the loss of nf1 is sufficient to induce activation of ras and initiate downstream signaling.', 'we find that loss of nf1 triggered several ras related signaling pathways including activation of pi-3 â€²-kinase and activation of mtor signaling.', 'despite this, grb10 loss, in an nf1 independent manner, renders cells resistant to downregulation of ras signaling by serum starvation, and increases activation of ras signaling in response to insulin and egf.', 'neurofibromin, the protein encoded by neurofibromatosis type 1 (nf1), negatively regulates ras output by accelerating the conversion of ras-gtp to ras-gdp 1 2.']",9,100,40,1,940
201,akt,family,akt, , , , ,pten,protein,p60484, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['activation', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition']","['pmc2777864', 'pmc2652403', 'pmc2652403', 'pmc4560817', 'pmc2652403', 'pmc2652403', 'pmc2652403', 'pmc2652403']","['while overexpression of pten alone did not affect akt activation in du145 cells, which is consistent with other publications [xref_bibr, xref_bibr], ectopic pten reversed the increase in akt activation observed in du145 cells overexpressing bmi1 (fig xref_fig).', 'restoration of pten expression suppressed igf-i-induced akt activity, suggesting that loss of pten is responsible for uncontrolled akt activity in mm lines [xref_bibr].', 'transfection of pten into the pten negative decreased the activation of akt and the downstream p70 (s6k) and reversed the resistance to doxorubicin in these cells, indicating that changes in pten status / akt activation modulate the cellular response to doxorubicin [xref_bibr].', 'pten is classically known to inhibit the pi3k / akt signalling axis, but here we show that it also remarkably controls the nuclear levels and transcriptional activity of Î²-catenin in an alternative pi3k / akt way.', 'restoration of pten expression suppressed igf-i-induced akt activity, suggesting that loss of pten is responsible for uncontrolled akt activity in mm lines [xref_bibr].', 'transfection of pten into the pten negative decreased the activation of akt and the downstream p70 (s6k) and reversed the resistance to doxorubicin in these cells, indicating that changes in pten status / akt activation modulate the cellular response to doxorubicin [xref_bibr].', 'restoration of pten expression suppressed igf-i-induced akt activity, suggesting that loss of pten is responsible for uncontrolled akt activity in mm lines [xref_bibr].', 'transfection of pten into the pten negative decreased the activation of akt and the downstream p70 (s6k) and reversed the resistance to doxorubicin in these cells, indicating that changes in pten status / akt activation modulate the cellular response to doxorubicin [xref_bibr].']",8,100,40,1,840
2174,egfr,protein,p00533,ano1,protein,q5xxa6, , , , , ,i,"[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['activation', 'activation', 'regulation', 'activation', 'increaseamount', 'activation', 'activation', 'activation']","['pmc4496210', 'pmc4496210', 'pmc4496210', 'pmc4496210', 'pmc4496210', 'pmc4496210', 'pmc4496210', 'pmc4496210']","['co-inhibition of egfr and ano1 had an additive effect on hnscc cell proliferation, suggesting that co-targeting of ano1 and egfr could enhance the clinical potential of egfr targeted therapy in hnscc and might circumvent the development of resistance to single agent therapy.', 'co-inhibition of egfr and ano1 had an additive effect on head and neck cancer cell proliferation, suggesting that co-targeting of ano1 and egfr could enhance the clinical potential of egfr targeted therapy in hnscc.', 'egfr signaling increases ano1 protein levels.', 'knockdown of ano1 inhibits egfr signaling in cancer cells, by a yet undefined mechanism.', 'knockdown of ano1 inhibited cell proliferation and reduced egfr protein levels, whereas egfr signaling induced ano1 protein levels in te11 cells.', 'these results suggest that egfr and ano1 jointly regulate cell proliferation by functioning in the same signaling node and are consistent with the hypothesis that co-targeting of ano1 and egfr could enhance the clinical potential of egfr targeted therapy in hnscc.', 'we have previously shown that ano1 promotes egfr signaling in hnscc cells [xref_bibr].', 'co-inhibition of egfr and ano1 had an additive effect on head and neck cancer cell proliferation, suggesting that co-targeting of ano1 and egfr could enhance the clinical potential of egfr targeted therapy in hnscc and might delay or prevent resistance to single agent treatment.']",8,100,40,1,840
3930,mrn,protein,o60934, , , , ,atrx,protein,p46100, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition']","['pmc4501375', 'pmc4501375', 'pmc4501375', 'pmc4501375', 'pmc4501375', 'pmc4501375', 'pmc4501375', 'pmc4501375']","['second, atrx interacts with and sequesters the mrn complex that, in the absence of atrx, is redistributed to apb sites where it may facilitate hr.', 'atrx sequesters mrn complex away from telomeres and apbs.', 'we therefore reasoned that atrx may act to sequester the mrn complex from pml and the telomeric machinery, thereby limiting telomeric hdr.', 'our data therefore suggest that atrx actively sequesters the mrn complex, which is a critical component of the alt pathway, at sites distinct from pml and telomeres and this is associated with the disassembly of apbs and suppression of telomeric hdr.', 'second, atrx interacts with and sequesters the mrn complex that, in the absence of atrx, is redistributed to apb sites where it may facilitate hr.', 'atrx sequesters mrn complex away from telomeres and apbs.', 'we therefore reasoned that atrx may act to sequester the mrn complex from pml and the telomeric machinery, thereby limiting telomeric hdr.', 'our data therefore suggest that atrx actively sequesters the mrn complex, which is a critical component of the alt pathway, at sites distinct from pml and telomeres and this is associated with the disassembly of apbs and suppression of telomeric hdr.']",8,100,40,1,840
3661,map,protein,p12872, , , , ,pten,protein,p60484, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['activation', 'inhibition', 'inhibition', 'inhibition', 'activation', 'inhibition', 'activation']","['pmc2133067', 'pmc2133067', 'pmc2133067', 'pmc2133067', 'pmc2133067', 'pmc2133067', 'pmc2133067']","['the phosphatase domain of pten was essential for all of these functions, because pten with an inactive phosphatase domain did not suppress map kinase or ras activity.', 'we conclude that pten inhibits ras activity, and then the ras / erk common map kinase pathway for integrin- and growth factor â€“ mediated signaling, and finally alters cell behavior.', 'map kinase activation by growth factors is also blocked by pten expression.', 'taken together, these results suggested that pten might block the map kinase pathway at some point upstream of mek that might be common to both integrin- and growth factor â€“ mediated signaling pathways.', 'these results identify the initial ras activation step as an upstream source of pten inhibition of map kinase activation.', 'to investigate the role of map kinase activation in a putative cell biological function of pten, we used a transient cotransfection assay that permitted restoration of map kinase activation impaired by pten expression using constitutively activated mek1, a downstream component of the ras / erk signaling pathway.', 'moreover, even though pten inhibits map kinase activation by pdgf, it does not affect pdgf induced phosphorylation of akt, a target of pi 3-kinase.']",7,100,40,1,740
2293,erk,family,erk, , , , ,atorvastatin,simple-chemical,60823, ,i,"['pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem']","['inhibition', 'inhibition', 'inhibition', 'activation', 'complex', 'inhibition', 'complex']","['pmc3789171', 'pmc3789171', 'pmc3789171', 'pmc3789171', 'pmc3789171', 'pmc3789171', 'pmc3789171']","['atorvastatin and gefitinib synergistically inhibit the pi3k / akt and mek / erk pathways.', 'we further observed whether atorvastatin alone or combined with gefitinib inhibited the activation of akt and erk.', 'however, 1 Î¼ m atorvastatin alone or combined with 1 Î¼ m gefitinib could not induce the erk inhibition of a549 cell and its kras / pik3ca or kras / pten comutant until the dose of atorvastatin was elevated to 5 Î¼ m (xref_fig).', 'the similar akt or erk inhibitory effect mediated by atorvastatin alone or in the presence of 1 Î¼ m gefitinib was also obtained in calu1 cells and their kras / pik3ca or kras / pten comutants (xref_fig).', 'therefore, the above results together suggest that inhibition of the pi3k / akt and mek / erk pathways by atorvastatin in kras mutant nsclc cells correlates with disruption of the kras / raf and kras / pi3k complexes irrespective of the pik3ca and pten statuses.', '20 in the present study, however, we find that atorvastatin induced inhibition of erk and akt activities may be, at least partly, derived from its disruption of the interaction of kras with raf and pi3k in nsclc cells including kras independent a549 cells.', 'besides, atorvastatin administration efficiently suppresses erk and akt activation, mainly due to disruption of kras / raf and kras / pi3k complexes in nsclc cells.']",7,100,40,1,740
