,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3551,mtorc1,protein family|protein complex,mtorc1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,i,"['none', 'none', 'none', 'none', 'none', 'none', 'none']","['pmc3291999', 'pmc3325598', 'pmc3549280', 'pmc3750018', 'pmc4216640', 'pmc4381605', 'pmc4948025']","['most of the research on the mtor signalling pathway has been focused on using rapamycin , which blocks mainly mtorc1 activity .', 'we found that inhibition of mtorc1 by rapamycin treatment ablated p53 accumulation and the expression of the p53 effector and transcriptional target p21 ( xref_fig ) .', 'additional work is still required to understand how rapamycin inhibits some of the functions of mtorc1 .', 'rapamycin interacts with fk506 binding protein 12 ( fkbp-12 ) and form a complex that binds and removes raptor from mtorc1 [ xref_bibr ] ; thus , rapamycin inhibits mtorc1 but has little effect on mtorc2 .', 'although rapamycin treatment robustly blocks mtorc1 activity as indicated by loss of p70s6k t389 phosphorylation , it has no effect on pras40 kd induced upregulation of p53 ( xref_fig ) .', 'pp242 inhibits both mtorc1 and mtorc2 complexes , therefore in order to dissect out the contribution of mtorc1 and/or mtorc2 to dna damage mediated chk1 regulation we used rapamycin , which predominantly inhibits mtorc1 , as well as specific downregulation of raptor and rictor with sirna .', 're-addition of cystine restored of mtorc1 signaling , which was abolished by rapamycin ( xref_fig ) .']",7,100.0,40.0,1.0,740.0
235,akt,protein family|protein complex,akt,nan,nan,nan,nan,nan,mtorc2,protein family|protein complex,mtorc2,nan,nan,nan,nan,nan,nan,nan,d,"['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2075366', 'pmc2868031', 'pmc3291999', 'pmc3660063', 'pmc3660063', 'pmc3750018', 'pmc3837323']","['mtorc2 phosphorylates and activates akt which then phosphorylates and inactivates the pro apoptotic factors bad and foxo1/3a xref_bibr , xref_bibr , xref_bibr .', 'mtorc2 phosphorylates akt xref_bibr , xref_bibr , xref_bibr , and controls cytoskeleton organization and cell survival xref_bibr , xref_bibr .', 'in mammalian cells , mtorc2 phosphorylates akt upon serum stimulation , namely growth factors such as insulin and igf1 ( insulin like growth factor 1 ) , suggesting that mtorc2 is regulated by the pi3k pathway [ xref_bibr , xref_bibr ] .', 'mtorc2 phosphorylates akt on s473 in vitro which facilitates t308 phosphorylation [ xref_bibr ] .', 'this phosphorylation event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .', 'because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma . ++++ because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma .', 'this phosphorylative event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .']",7,100.0,40.0,1.0,740.0
3075,irs-1,protein,p35568,nan,nan,nan,nan,nan,p70s6k,other,ua-bp-ggp-00308,nan,nan,nan,nan,nan,nan,nan,d,"['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc3660063', 'pmc3660063', 'pmc3660063', 'pmc4102778', 'pmc4102778', 'pmc4102778']","['p70s6k phosphorylates irs-1 on s312 and/or s636 and s639 .', 'p70s6k phosphorylates irs-1 on s312 and/or s636 and s639 .', 'p70s6k phosphorylates irs-1 on s312 and/or s636 and s639 .', 'p70s6k can phosphorylate irs-1 on s312 and/or s636 and s639 .', 'p70s6k can phosphorylate irs-1 on s312 and/or s636 and s639 .', 'p70s6k can phosphorylate irs-1 on s312 and/or s636 and s639 .']",6,100.0,40.0,1.0,640.0
292,akt,protein family|protein complex,akt,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,nan,nan,nan,nan,nan,i,"['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'none']","['pmc2637922', 'pmc2637922', 'pmc2637922', 'pmc2652403', 'pmc3660063']","['in all tissues examined , and especially in fat and muscle , acute rapamycin treatment activated the phosphorylation of akt at s473 and t308 ( xref_fig ) .', 'in all tissues examined , and especially in fat and muscle , acute rapamycin treatment activated the phosphorylation of akt at s473 and t308 ( xref_fig ) .', 'rapamycin often stimulates the phosphorylation of akt [ xref_bibr , xref_bibr ] , probably by relieving feedback inhibition from s6k to the insulin receptor substrate 1 ( irs1 ) [ xref_bibr ] , a key signaling molecule that links activation of the insulin receptor to pi3k activation .', 'the rapamycin induced phosphorylation of akt and eif4e was suppressed by ly294002 , suggesting the requirement of pi3k in this process [ xref_bibr ] . ++++ paradoxically , rapamycin also concurrently increased the phosphorylation of both akt and eif4e [ xref_bibr ] .', 'the formation of the rapamycin sensitive mtorc1 complex in certain cancer cells that overexpress activated akt may be altered in comparison to cells that do not overexpress akt .']",5,100.0,40.0,1.0,540.0
4022,p53,protein,p04637,nan,nan,cellosaurus:cvcl_9771,nan,nan,p300,protein,q09472,nan,nan,nan,nan,nan,nan,nan,d,"['acetylation', 'acetylation', 'acetylation', 'acetylation']","['pmc3330162', 'pmc3330162', 'pmc3330162', 'pmc3330162']","['because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .']",4,100.0,40.0,1.0,440.0
4043,p53,protein,p04637,nan,nan,nan,nan,nan,cbp,protein,q92793,nan,nan,nan,nan,nan,nan,nan,d,"['acetylation', 'acetylation', 'acetylation', 'acetylation']","['pmc2817464', 'pmc2817464', 'pmc2817464', 'pmc2817464']","['p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .', 'p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .', 'p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .', 'p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .']",4,100.0,40.0,1.0,440.0
3486,mtor,protein,p42345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,rapamycin,chemical,5284616,nan,nan,i,"['none', 'none', 'none', 'none']","['pmc2361102', 'pmc2637922', 'pmc2652403', 'pmc2868031']","['in peutz jeghers syndrome , tuberous sclerosis , and other diseases where pten is inactivated , the use of rapamycin as a clinical means to reverse the effect of elevated mtor activity is an attractive option ( inoki et al , 2005a ) .', 'active-site inhibitors of mtor target rapamycin resistant outputs of mtorc1 and mtorc2 .', 'it was reported that the inhibition of mtor by rapamycin triggers the activation of two survival signaling pathways that may contribute to drug resistance .', 'they share same mechanism and specifically block the function of mtor , inhibiting growth of numerous solid tumors ( renal , breast , prostate , colon and brain cancers ) with only mild side effects xref_bibr .']",4,100.0,40.0,1.0,440.0
4073,p53,protein,p04637,nan,nan,nan,nan,nan,p300,protein,q09472,nan,nan,nan,nan,nan,nan,nan,d,"['acetylation', 'acetylation', 'acetylation', 'acetylation']","['pmc2817464', 'pmc2817464', 'pmc2817464', 'pmc2817464']","['p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .', 'p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .', 'p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .', 'p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .']",4,100.0,40.0,1.0,440.0
3881,p21,protein,p38936,nan,nan,nan,nan,nan,cyclin,protein,p12004,nan,nan,nan,nan,nan,nan,nan,d,"['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc3667761', 'pmc3667761', 'pmc3667761']","['as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 . ++++ as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 .', 'as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 . ++++ as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 .', 'as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 . ++++ as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 .']",3,100.0,40.0,1.0,340.0
1318,cdk4,protein,p11802,nan,nan,cellosaurus:cvcl_0291,nan,nan,nan,nan,nan,nan,nan,roscovitine,chemical,160355,nan,nan,i,"['none', 'phosphorylation', 'phosphorylation']","['pmc3667761', 'pmc3667761', 'pmc3667761']","['to ascertain the possible involvement of cdk2 in s130 phosphorylation of p21 and hence in cdk4 activation , we first stimulated k7as hct116 cells in the presence or absence of the specific cdk inhibitor roscovitine , which in vitro inhibits several cdks but not cdk4 and cdk6 xref_bibr .', 'here again , the t172 phosphorylation of cdk4 as well as s130 phosphorylation of p21 were inhibited by roscovitine ( xref_fig ) . ++++ importantly , t172 phosphorylation of cdk4 was completely inhibited by roscovitine in wt cells but not in p21-null cells ( xref_fig ) .', 'here again , the t172 phosphorylation of cdk4 as well as s130 phosphorylation of p21 were inhibited by roscovitine ( xref_fig ) .']",3,100.0,40.0,1.0,340.0
