"","X","Target.Name","Target.Type","Target.ID","Location.ID","Cell.Line","Source.Name","Source.Type","Source.ID","Source.Location","Source.Location.ID","Sign","Connection.Type","Mechanism","Paper.ID","Evidence","Evidence.Score","Match.Score","Kind.Score","Epistemic.Value","Total.Score"
"1",43,"akt","protein family|protein complex","akt","nan","nan","mtorc2","protein family|protein complex","mtorc2","nan","nan","positive","d","['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2075366', 'pmc2868031', 'pmc3291999', 'pmc3660063', 'pmc3660063', 'pmc3750018', 'pmc3837323']","['mtorc2 phosphorylates and activates akt which then phosphorylates and inactivates the pro apoptotic factors bad and foxo1/3a xref_bibr , xref_bibr , xref_bibr .', 'mtorc2 phosphorylates akt xref_bibr , xref_bibr , xref_bibr , and controls cytoskeleton organization and cell survival xref_bibr , xref_bibr .', 'in mammalian cells , mtorc2 phosphorylates akt upon serum stimulation , namely growth factors such as insulin and igf1 ( insulin like growth factor 1 ) , suggesting that mtorc2 is regulated by the pi3k pathway [ xref_bibr , xref_bibr ] .', 'mtorc2 phosphorylates akt on s473 in vitro which facilitates t308 phosphorylation [ xref_bibr ] .', 'this phosphorylation event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .', 'because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma . ++++ because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma .', 'this phosphorylative event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .']",7,100,40,1,740
"2",649,"p53","protein","p04637","nan","cellosaurus:cvcl_9771","p300","protein","q09472","nan","nan","positive","d","['acetylation', 'acetylation', 'acetylation', 'acetylation']","['pmc3330162', 'pmc3330162', 'pmc3330162', 'pmc3330162']","['because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .']",4,100,40,1,440
"3",92,"atm","protein","q13315","nan","nan","gem","protein","p55040","nan","nan","positive","i","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc4159025', 'pmc4159025', 'pmc4159025']","['however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .']",3,100,40,1,340
"4",920,"src","protein family|protein complex","src","go:0009986","cellosaurus:cvcl_0022","pkcdelta","protein","p83099","other","go:0009986","positive","d","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc3709701', 'pmc3709701', 'pmc3709701']","['in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place . ++++ in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .', 'in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .', 'in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .']",3,100,40,1,340
"5",966,"tsc2","protein","p49815","go:0005856","nan","rsk","protein family|protein complex","rsk","other","go:0005856","negative","i","['phosphorylation', 'phosphorylation']","['pmc3291999', 'pmc3291999']","['erk and rsk induce inhibitory phosphorylation of tsc2 at ser664 and ser1798 respectively , which promotes tsc1 and tsc2 dissociation , which in turn leads to mtorc1 activation [ xref_bibr - xref_bibr ] .', 'erk and rsk induce inhibitory phosphorylation of tsc2 at ser664 and ser1798 respectively , which promotes tsc1 and tsc2 dissociation , which in turn leads to mtorc1 activation [ xref_bibr - xref_bibr ] .']",2,100,40,1,240
"6",242,"chk1","protein","o14757","nan","nan","atr","protein","p20848","nan","nan","positive","d","['phosphorylation', 'phosphorylation']","['pmc2925474', 'pmc2925474']","['during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .', 'during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .']",2,100,40,1,240
"7",243,"chk1","protein","o14757","nan","nan","atr","protein","p20848","nan","nan","positive","i","['none', 'none']","['pmc2925474', 'pmc2954851']","['the transducer proteins include the kinases atm and atm- and rad3 related ( atr ) ; atm and atr phosphorylates and thereby activates the checkpoint kinases chk1 and chk2 , which control hur cytoplasmic abundance and rna binding , respectively .', 'after dna damage or replication stress claspin is phosphorylated by chk1 , an event that is required for a claspin-chk1 interaction and subsequent full activation of chk1 by atr , in another example of the network nature of the ddr [ xref_bibr - xref_bibr ] .']",2,100,40,1,240
"8",662,"p53","protein","p04637","nan","nan","cbp","protein","q92793","nan","nan","positive","d","['acetylation', 'acetylation']","['pmc2817464', 'pmc2817464']","['p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .', 'p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .']",2,100,40,1,240
"9",237,"chk1","protein","o14757","go:0005737","nan","cdk1","protein","p06493","cytoplasm","go:0005737","positive","d","['phosphorylation', 'phosphorylation']","['pmc2925474', 'pmc2925474']","['as recently reported , during mitosis cdk1 phosphorylates chk1 at s286 and s301 ; the mitotic phosphorylation of chk1 is accompanied by the translocation of chk1 to the cytoplasm [ xref_bibr ] .', 'as recently reported , during mitosis cdk1 phosphorylates chk1 at s286 and s301 ; the mitotic phosphorylation of chk1 is accompanied by the translocation of chk1 to the cytoplasm [ xref_bibr ] .']",2,100,40,1,240
"10",618,"p21","protein","p38936","nan","nan","cdk7","protein","p50613","nan","nan","positive","i","['none', 'phosphorylation']","['pmc3667761', 'pmc3667761']","['importantly , inhibition of cdk7 by 1-nmpp1 prevented the appearance of the main and minor ( multi ) phosphorylated forms of p21 ( xref_fig ; xref_supplementary ) .', 'cdk4 activation correlates with s130 phosphorylation of p21 , which is prevented by cdk7 inhibition .']",2,100,40,1,240
"11",741,"pi3k","protein family|protein complex","pi3k","go:0005886","nan","egfr*1, grb2-associated binder 1*1+","protein, protein","p00533, q13480.p","plasma membrane","go:0005886","positive","i","['none', 'none']","['pmc2683723', 'pmc2683723']","['likewise , the pi3k and akt pathway is activated by ir via either direct or irs mediated recruitment of pi3k , whereas egfr mediated pi3k activation occurs mainly via a more intricate route that involves egfr- and src induced phosphorylation of the grb2 associated binder 1 ( gab1 ) .', 'likewise , the pi3k and akt pathway is activated by ir via either direct or irs mediated recruitment of pi3k , whereas egfr mediated pi3k activation occurs mainly via a more intricate route that involves egfr- and src induced phosphorylation of the grb2 associated binder 1 ( gab1 ) .']",2,100,40,1,240
"12",912,"src","protein family|protein complex","src","nan","cellosaurus:cvcl_0045","ep2","protein","q08648","nan","nan","positive","i","['none', 'phosphorylation']","['pmc4624070', 'pmc4624070']","['because tyr845 in egfr is a substrate for src and known to be phosphorylated by src , we hypothesized that ep2 would activate src , which in turn results in increase in egfr phosphorylation at tyr845 .', 'these results demonstrate that ep2 induces the phosphorylation and the activation of src .']",2,100,40,1,240
